Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://projectcamp.co/,Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<p style=""text-align:right;white-space:pre-wrap;"" class=""sqsrte-small"">Project:Camp is a registered 501(c)(3)</p>"
1,https://projectcamp.co/,Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<p style=""text-align:right;white-space:pre-wrap;"" class=""sqsrte-small"">All donations are tax deductible<br> EIN 84-4640242<br>© Project:Camp 2025</p>"
1,https://projectcamp.co/,Project:Camp,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<nav class=""header-nav-list"">"
10,https://projectcamp.co/about-us,About Us — Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<a href=""https://indd.adobe.com/view/5c645a24-535e-454b-b7d8-a6f9ee162249"" target=""_blank"">Annual Report here</a>"
10,https://projectcamp.co/about-us,About Us — Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<a href=""/s/UPDATED-ANNUAL-REPORT-compressed-compressed.pdf"" target=""_blank"">2022 Annual Report</a>"
10,https://projectcamp.co/about-us,About Us — Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<p style=""text-align:right;white-space:pre-wrap;"" class=""sqsrte-small"">Project:Camp is a registered 501(c)(3)</p>"
10,https://projectcamp.co/about-us,About Us — Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<p style=""text-align:right;white-space:pre-wrap;"" class=""sqsrte-small"">All donations are tax deductible<br> EIN 84-4640242<br>© Project:Camp 2025</p>"
10,https://projectcamp.co/about-us,About Us — Project:Camp,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h2 class=""
          accordion-item__title-wrapper
          
          
          
        "" role=""heading"" aria-level=""3"">"
10,https://projectcamp.co/about-us,About Us — Project:Camp,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<nav class=""header-nav-list"">"
11,https://projectcamp.co/volunteers,Volunteers — Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<p style=""text-align:right;white-space:pre-wrap;"" class=""sqsrte-small"">Project:Camp is a registered 501(c)(3)</p>"
11,https://projectcamp.co/volunteers,Volunteers — Project:Camp,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<p style=""text-align:right;white-space:pre-wrap;"" class=""sqsrte-small"">All donations are tax deductible<br> EIN 84-4640242<br>© Project:Camp 2025</p>"
